Data,Jornal,Quantidade,Comentarios,Tweets,Facebook,LinkedIn,GooglePlus,TotalRepercussao
01/01/2000,G1,0,0,0,0,0,0,0
01/01/2000,FOLHASP,0,0,0,0,0,0,0
01/01/2000,ESTADAO,0,0,0,0,0,0,0
02/01/2000,G1,0,0,0,0,0,0,0
02/01/2000,FOLHASP,0,0,0,0,0,0,0
02/01/2000,ESTADAO,0,0,0,0,0,0,0
03/01/2000,G1,0,0,0,0,0,0,0
03/01/2000,FOLHASP,0,0,0,0,0,0,0
03/01/2000,ESTADAO,0,0,0,0,0,0,0
04/01/2000,G1,0,0,0,0,0,0,0
04/01/2000,FOLHASP,0,0,0,0,0,0,0
04/01/2000,ESTADAO,0,0,0,0,0,0,0
05/01/2000,G1,0,0,0,0,0,0,0
05/01/2000,FOLHASP,0,0,0,0,0,0,0
05/01/2000,ESTADAO,0,0,0,0,0,0,0
06/01/2000,G1,0,0,0,0,0,0,0
06/01/2000,FOLHASP,0,0,0,0,0,0,0
06/01/2000,ESTADAO,0,0,0,0,0,0,0
07/01/2000,G1,0,0,0,0,0,0,0
07/01/2000,FOLHASP,0,0,0,0,0,0,0
07/01/2000,ESTADAO,0,0,0,0,0,0,0
08/01/2000,G1,0,0,0,0,0,0,0
08/01/2000,FOLHASP,0,0,0,0,0,0,0
08/01/2000,ESTADAO,0,0,0,0,0,0,0
09/01/2000,G1,0,0,0,0,0,0,0
09/01/2000,FOLHASP,0,0,0,0,0,0,0
09/01/2000,ESTADAO,0,0,0,0,0,0,0
10/01/2000,G1,0,0,0,0,0,0,0
10/01/2000,FOLHASP,0,0,0,0,0,0,0
10/01/2000,ESTADAO,0,0,0,0,0,0,0
11/01/2000,G1,0,0,0,0,0,0,0
11/01/2000,FOLHASP,0,0,0,0,0,0,0
11/01/2000,ESTADAO,0,0,0,0,0,0,0
12/01/2000,G1,0,0,0,0,0,0,0
12/01/2000,FOLHASP,0,0,0,0,0,0,0
12/01/2000,ESTADAO,0,0,0,0,0,0,0
13/01/2000,G1,0,0,0,0,0,0,0
13/01/2000,FOLHASP,0,0,0,0,0,0,0
13/01/2000,ESTADAO,0,0,0,0,0,0,0
14/01/2000,G1,0,0,0,0,0,0,0
14/01/2000,FOLHASP,0,0,0,0,0,0,0
14/01/2000,ESTADAO,0,0,0,0,0,0,0
15/01/2000,G1,0,0,0,0,0,0,0
15/01/2000,FOLHASP,0,0,0,0,0,0,0
15/01/2000,ESTADAO,0,0,0,0,0,0,0
16/01/2000,G1,0,0,0,0,0,0,0
16/01/2000,FOLHASP,0,0,0,0,0,0,0
16/01/2000,ESTADAO,0,0,0,0,0,0,0
17/01/2000,G1,0,0,0,0,0,0,0
17/01/2000,FOLHASP,0,0,0,0,0,0,0
17/01/2000,ESTADAO,0,0,0,0,0,0,0
18/01/2000,G1,0,0,0,0,0,0,0
18/01/2000,FOLHASP,0,0,0,0,0,0,0
18/01/2000,ESTADAO,0,0,0,0,0,0,0
19/01/2000,G1,0,0,0,0,0,0,0
19/01/2000,FOLHASP,0,0,0,0,0,0,0
19/01/2000,ESTADAO,0,0,0,0,0,0,0
20/01/2000,G1,0,0,0,0,0,0,0
20/01/2000,FOLHASP,0,0,0,0,0,0,0
20/01/2000,ESTADAO,0,0,0,0,0,0,0
21/01/2000,G1,0,0,0,0,0,0,0
21/01/2000,FOLHASP,0,0,0,0,0,0,0
21/01/2000,ESTADAO,0,0,0,0,0,0,0
22/01/2000,G1,0,0,0,0,0,0,0
22/01/2000,FOLHASP,0,0,0,0,0,0,0
22/01/2000,ESTADAO,0,0,0,0,0,0,0
23/01/2000,G1,0,0,0,0,0,0,0
23/01/2000,FOLHASP,0,0,0,0,0,0,0
23/01/2000,ESTADAO,0,0,0,0,0,0,0
24/01/2000,G1,0,0,0,0,0,0,0
24/01/2000,FOLHASP,0,0,0,0,0,0,0
24/01/2000,ESTADAO,0,0,0,0,0,0,0
25/01/2000,G1,0,0,0,0,0,0,0
25/01/2000,FOLHASP,0,0,0,0,0,0,0
25/01/2000,ESTADAO,0,0,0,0,0,0,0
26/01/2000,G1,0,0,0,0,0,0,0
26/01/2000,FOLHASP,0,0,0,0,0,0,0
26/01/2000,ESTADAO,0,0,0,0,0,0,0
27/01/2000,G1,0,0,0,0,0,0,0
27/01/2000,FOLHASP,0,0,0,0,0,0,0
27/01/2000,ESTADAO,0,0,0,0,0,0,0
28/01/2000,G1,0,0,0,0,0,0,0
28/01/2000,FOLHASP,0,0,0,0,0,0,0
28/01/2000,ESTADAO,0,0,0,0,0,0,0
29/01/2000,G1,0,0,0,0,0,0,0
29/01/2000,FOLHASP,0,0,0,0,0,0,0
29/01/2000,ESTADAO,0,0,0,0,0,0,0
30/01/2000,G1,0,0,0,0,0,0,0
30/01/2000,FOLHASP,0,0,0,0,0,0,0
30/01/2000,ESTADAO,0,0,0,0,0,0,0
31/01/2000,G1,0,0,0,0,0,0,0
31/01/2000,FOLHASP,0,0,0,0,0,0,0
31/01/2000,ESTADAO,0,0,0,0,0,0,0
01/02/2000,G1,0,0,0,0,0,0,0
01/02/2000,FOLHASP,0,0,0,0,0,0,0
01/02/2000,ESTADAO,0,0,0,0,0,0,0
02/02/2000,G1,0,0,0,0,0,0,0
02/02/2000,FOLHASP,0,0,0,0,0,0,0
02/02/2000,ESTADAO,0,0,0,0,0,0,0
03/02/2000,G1,0,0,0,0,0,0,0
03/02/2000,FOLHASP,0,0,0,0,0,0,0
03/02/2000,ESTADAO,0,0,0,0,0,0,0
04/02/2000,G1,0,0,0,0,0,0,0
04/02/2000,FOLHASP,0,0,0,0,0,0,0
04/02/2000,ESTADAO,0,0,0,0,0,0,0
05/02/2000,G1,0,0,0,0,0,0,0
05/02/2000,FOLHASP,0,0,0,0,0,0,0
05/02/2000,ESTADAO,0,0,0,0,0,0,0
06/02/2000,G1,0,0,0,0,0,0,0
06/02/2000,FOLHASP,0,0,0,0,0,0,0
06/02/2000,ESTADAO,0,0,0,0,0,0,0
07/02/2000,G1,0,0,0,0,0,0,0
07/02/2000,FOLHASP,0,0,0,0,0,0,0
07/02/2000,ESTADAO,0,0,0,0,0,0,0
08/02/2000,G1,0,0,0,0,0,0,0
08/02/2000,FOLHASP,0,0,0,0,0,0,0
08/02/2000,ESTADAO,0,0,0,0,0,0,0
09/02/2000,G1,0,0,0,0,0,0,0
09/02/2000,FOLHASP,0,0,0,0,0,0,0
09/02/2000,ESTADAO,0,0,0,0,0,0,0
10/02/2000,G1,0,0,0,0,0,0,0
10/02/2000,FOLHASP,0,0,0,0,0,0,0
10/02/2000,ESTADAO,0,0,0,0,0,0,0
11/02/2000,G1,0,0,0,0,0,0,0
11/02/2000,FOLHASP,0,0,0,0,0,0,0
11/02/2000,ESTADAO,0,0,0,0,0,0,0
12/02/2000,G1,0,0,0,0,0,0,0
12/02/2000,FOLHASP,0,0,0,0,0,0,0
12/02/2000,ESTADAO,0,0,0,0,0,0,0
13/02/2000,G1,0,0,0,0,0,0,0
13/02/2000,FOLHASP,0,0,0,0,0,0,0
13/02/2000,ESTADAO,0,0,0,0,0,0,0
14/02/2000,G1,0,0,0,0,0,0,0
14/02/2000,FOLHASP,0,0,0,0,0,0,0
14/02/2000,ESTADAO,0,0,0,0,0,0,0
15/02/2000,G1,0,0,0,0,0,0,0
15/02/2000,FOLHASP,0,0,0,0,0,0,0
15/02/2000,ESTADAO,0,0,0,0,0,0,0
16/02/2000,G1,0,0,0,0,0,0,0
16/02/2000,FOLHASP,0,0,0,0,0,0,0
16/02/2000,ESTADAO,0,0,0,0,0,0,0
17/02/2000,G1,0,0,0,0,0,0,0
17/02/2000,FOLHASP,0,0,0,0,0,0,0
17/02/2000,ESTADAO,0,0,0,0,0,0,0
18/02/2000,G1,0,0,0,0,0,0,0
18/02/2000,FOLHASP,0,0,0,0,0,0,0
18/02/2000,ESTADAO,0,0,0,0,0,0,0
19/02/2000,G1,0,0,0,0,0,0,0
19/02/2000,FOLHASP,0,0,0,0,0,0,0
19/02/2000,ESTADAO,0,0,0,0,0,0,0
20/02/2000,G1,0,0,0,0,0,0,0
20/02/2000,FOLHASP,0,0,0,0,0,0,0
20/02/2000,ESTADAO,0,0,0,0,0,0,0
21/02/2000,G1,0,0,0,0,0,0,0
